wavenumber,intensity
400.0,0.0
404.0,0.0
408.0,0.0
412.0,0.0
416.0,0.0
420.0,0.0
424.0,0.0
428.0,0.0
432.0,0.0
436.0,0.0
440.0,0.0
444.0,0.0
448.0,0.0
452.0,0.0
456.0,0.0
460.0,0.0
464.0,0.0
468.0,0.0
472.0,0.0
476.0,0.0
480.0,0.0
484.0,0.0
488.0,0.0
492.0,0.0
496.0,0.0
500.0,0.0
504.0,0.0
508.0,0.0
512.0,0.0
516.0,0.0
520.0,0.0
524.0,0.0
528.0,0.0
532.0,0.0
536.0,0.0
540.0,0.0
544.0,0.0
548.0,0.0
552.0,0.0
556.0,0.0
560.0,0.0
564.0,0.0
568.0,0.0
572.0,0.0
576.0,0.0
580.0,0.0
584.0,0.0
588.0,0.0
592.0,0.0
596.0,0.0
600.0,0.0
604.0,0.0
608.0,0.0
612.0,6.441312741778324e-18
616.0,1.932393822533497e-17
620.0,6.76337837886724e-17
624.0,2.222252895913522e-16
628.0,7.343096525627289e-16
632.0,2.3736237453453122e-15
636.0,7.523453282397082e-15
640.0,2.3352979345317313e-14
644.0,7.10219142908478e-14
648.0,2.1162610947475592e-13
652.0,6.178474975350059e-13
656.0,1.7673963759964744e-12
660.0,4.953627150937202e-12
664.0,1.3603456689207205e-11
668.0,3.6602624387587746e-11
672.0,9.649658797821035e-11
676.0,2.4925768848365357e-10
680.0,6.308440505170264e-10
684.0,1.5643441658653883e-09
688.0,3.800838781706387e-09
692.0,9.048225974522351e-09
696.0,2.1104947446233972e-08
700.0,4.823274278572452e-08
704.0,1.0800316695132932e-07
708.0,2.369560867590812e-07
712.0,5.093732041902337e-07
716.0,1.072855342555282e-06
720.0,2.214027897256893e-06
724.0,4.476739840082775e-06
728.0,8.869057526657167e-06
732.0,1.721590804577015e-05
736.0,3.274305850646134e-05
740.0,6.101623432291568e-05
744.0,0.00011140595493919998
748.0,0.00019930043993043027
752.0,0.00034933729765243825
756.0,0.0005999547591285024
760.0,0.0010095524715729763
764.0,0.0016644706337702543
768.0,0.0026888106866835132
772.0,0.004255799518899321
776.0,0.006599924143862399
780.0,0.010028444473421865
784.0,0.014930180275960667
788.0,0.021778771405855577
792.0,0.031127091950128784
796.0,0.04358936757482994
800.0,0.059808021350984814
804.0,0.0804035360237047
808.0,0.10590774232345787
812.0,0.136683823439066
816.0,0.17283964861618717
820.0,0.21414427976273104
824.0,0.25995994029788055
828.0,0.30920266358676424
832.0,0.36034364861397744
836.0,0.4114597559181362
840.0,0.4603357501148988
844.0,0.5046135301640724
848.0,0.5419758378966102
852.0,0.570345221405698
856.0,0.5880747548921039
860.0,0.5941062382454335
864.0,0.5880747549248494
868.0,0.570345221504476
872.0,0.5419758381583791
876.0,0.5046135308347329
880.0,0.46033575179548586
884.0,0.41145976004343293
888.0,0.3603436585353739
892.0,0.3092026869657406
896.0,0.25995999427563177
900.0,0.2141444018698261
904.0,0.1728399192635846
908.0,0.1366844112039797
912.0,0.10590899298647356
916.0,0.08040614346058549
920.0,0.05981334763288521
924.0,0.04360002792179061
928.0,0.0311479972007616
932.0,0.021818939041116786
936.0,0.015005799810227639
940.0,0.010167929817802979
944.0,0.006852016691403071
948.0,0.004702203729630862
952.0,0.0034633320569601063
956.0,0.0029811358883115235
960.0,0.003202631048041156
964.0,0.004179021994711437
968.0,0.006072319152446821
972.0,0.009165568697245252
976.0,0.013875192687802369
980.0,0.020762476842434582
984.0,0.030539840532312384
988.0,0.04406637663114925
992.0,0.06232654290251783
996.0,0.08638616285927883
1000.0,0.11732138012055204
1004.0,0.15611911816918986
1008.0,0.2035519076292464
1012.0,0.2600353061560964
1016.0,0.3254818276969912
1020.0,0.3991702640707962
1024.0,0.4796522899284667
1028.0,0.564718131048303
1032.0,0.6514390613230324
1036.0,0.7362964567406646
1040.0,0.8153958061672145
1044.0,0.8847510443885807
1048.0,0.9406120583475521
1052.0,0.9797986738769782
1056.0,1.0
1060.0,0.9999999999913501
1064.0,0.9797986738421429
1068.0,0.9406120582516733
1072.0,0.8847510441395345
1076.0,0.8153958055364415
1080.0,0.7362964551763438
1084.0,0.6514390575222011
1088.0,0.5647181220000794
1092.0,0.47965226882352
1096.0,0.3991702158380536
1100.0,0.32548171969382433
1104.0,0.2600350692000096
1108.0,0.20355139825604224
1112.0,0.15611804531384726
1116.0,0.11731916609265479
1120.0,0.08638168611943876
1124.0,0.06231767384499118
1128.0,0.04404916072310348
1132.0,0.03050709747380593
1136.0,0.02070146060811168
1140.0,0.013763786732863204
1144.0,0.008966268257314903
1148.0,0.005722981854794596
1152.0,0.003579067235583473
1156.0,0.002193078576469536
1160.0,0.0013166652545446317
1164.0,0.0007745213702848219
1168.0,0.00044640421075143493
1172.0,0.0002520925475881738
1176.0,0.00013948534449314707
1180.0,7.561953452795764e-05
1184.0,4.0167635861741966e-05
1188.0,2.090525199766644e-05
1192.0,1.0660350024578066e-05
1196.0,5.326288694029549e-06
1200.0,2.6074517595718227e-06
1204.0,1.2506952020079258e-06
1208.0,5.878336860088722e-07
1212.0,2.707925396641582e-07
1216.0,1.2240965597114494e-07
1220.0,5.460072542032148e-08
1224.0,2.4645944857138566e-08
1228.0,1.2466468628244713e-08
1232.0,9.175082434052949e-09
1236.0,1.1577153177526379e-08
1240.0,1.9827992641720437e-08
1244.0,3.6890742338706446e-08
1248.0,6.927456286463906e-08
1252.0,1.2907254765542886e-07
1256.0,2.3775759158068275e-07
1260.0,4.3266779649699263e-07
1264.0,7.777309768689529e-07
1268.0,1.380847776368033e-06
1272.0,2.4215932200366073e-06
1276.0,4.194643380758096e-06
1280.0,7.176740778956826e-06
1284.0,1.2128241059551392e-05
1288.0,2.0244484448077592e-05
1292.0,3.337751212090091e-05
1296.0,5.435500536717012e-05
1300.0,8.743060092404281e-05
1304.0,0.00013890750907768188
1308.0,0.00021798485617391465
1312.0,0.0003378821608721441
1316.0,0.000517300076114855
1320.0,0.0007822726765927862
1324.0,0.0011684553466071107
1328.0,0.001723869630236638
1332.0,0.0025120892030562995
1336.0,0.00361579695674405
1340.0,0.005140570890357138
1344.0,0.0072186670323495005
1348.0,0.010012464913603344
1352.0,0.013717132828493045
1356.0,0.018561968046901002
1360.0,0.024809787077342826
1364.0,0.032753701982094
1368.0,0.042710640963442154
1372.0,0.05501107407772839
1376.0,0.06998460243039945
1380.0,0.08794136752592702
1384.0,0.1091496304211196
1388.0,0.13381033685434576
1392.0,0.16202998738435073
1396.0,0.19379361858798513
1400.0,0.2289401092658297
1404.0,0.2671422866918525
1408.0,0.30789435905409723
1412.0,0.3505089929674391
1416.0,0.39412586567152996
1420.0,0.437732759442305
1424.0,0.4801992771613492
1428.0,0.5203221255949086
1432.0,0.5568797492854988
1436.0,0.5886930334648253
1440.0,0.6146879611159318
1444.0,0.6339556227196905
1448.0,0.6458049187360188
1452.0,0.6498036980657529
1456.0,0.6458049187360188
1460.0,0.6339556227196905
1464.0,0.6146879611159318
1468.0,0.5886930334648253
1472.0,0.5568797492854988
1476.0,0.5203221255949086
1480.0,0.4801992771613492
1484.0,0.437732759442305
1488.0,0.39412586567152996
